__ffmeta_header	__ffmeta_order	__chapter_order	__chapter_index	ffmeta_author	ffmeta_title	TIMEBASE	START	END	title	creation_time	location
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time|location	1	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	4	280	1997 - Ralph Lombardi Visit (October ?, 1997)	1997-10-01T00:00:00-07:00	+34.195465-118.137073+453.79/446 E Poppyfields Dr, Altadena, CA
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	2	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	47	67	1997 - Ralph Lombardi interviewing Buddy in Beau Brummell pose (October ?, 1997)	1997-10-01T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	3	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	73	101	1997 - Ralph Lombardi interviewing Asia, peace dude (October ?, 1997)	1997-10-01T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	4	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	108	136	1997 - Ralph Lombardi interviewing Terra & Glenda and comparing height (October ?, 1997)	1997-10-01T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	5	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	137	280	1997 - Ralph Lombardi interviewing Terra, future Governor of California (October ?, 1997)	1997-10-01T00:00:00-07:00	
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time|location	6	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	282	430	1997 - Ralph Lombardi Visiting Pier 39, San Francisco, California (October ?, 1997)	1997-10-01T00:00:00-07:00	+37.8109485-122.4107248+3.91/Pier 39, San Francisco, California
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time|location	7	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	432	1128	1997 - Ralph Lombardi, Gene & Monica visit to Sebastiani Sonoma Cask Cellars (October ?, 1997)	1997-10-01T00:00:00-07:00	+38.2932135-122.4493420+31.54/389 4th St E, Sonoma, CA 95476
;FFMETADATA1	author|title	TIMEBASE|START|END|title|creation_time	8	Ralph Lombardi	Bennett 11 Archive (VHS-C Tape)	1/1	1131	1828	1997 - Ralph Lombardi interviewing Lynn and Craig in Oakland, California (October 19, 1997)	1997-10-19T00:00:00-07:00	
