Title	Author	ChapterTitle	StartSeconds	EndSeconds	Location
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 01 Rehearsal (1995)	15.382	409.009	+34.15756-118.13637+274.03/Church of Truth, 690 E Orange Grove Blvd, Pasadena, CA 91104
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 02 Rehearsal Dinner (1995)	409.042	444.878	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 03 Pre-Ceremony, Donald, Friends (March 18, 1995)	445.345	454.187	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 04 Bride Processional (March 18, 1995)	455.422	469.536	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 05 Nuptials (March 18, 1995)	469.569	1162.161	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 06 Rice Toss Send-Off (March 18, 1995)	1162.194	1186.118	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 07 Reception, Audrey, Gladys, Amy, Sarah (March 18, 1995)	1186.152	1224.023	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 08 Reception Catering, Leslie, Audrey, Gladys, Amy (March 18, 1995)	1224.056	1261.727	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 09 Reception Jimmy, Family, Donald taking Photos, Lynda (March 18, 1995)	1261.761	1287.686	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 10 Reception Guests (March 18, 1995)	1287.72	1319.385	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 11 Reception Entrance Decoration and Presents, Guests (March 18, 1995)	1319.418	1360.96	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 12 Reception Drinks (March 18, 1995)	1360.993	1377.109	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 13 Reception Jerry Cordell, Poly Grant, Dolores Cordell (March 18, 1995)	1377.142	1400.866	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 14 Reception Wedding Plaque & Cake (March 18, 1995)	1400.899	1421.32	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 15 Reception Lynda & Jimmy Dancing (March 18, 1995)	1400.899	1666.865	
Callahan 02 Archive (VHS Tape)		1995 - Lynda & Jim's Wedding - 16 Reception Dancing (March 18, 1995)	1666.899	2290.922	
